p,true_k,dataset_id,n,B,n_jobs,n_test_ks,model,t_carve_sec,t_carve_per_k_sec,t_external_sec
10,3,0,500,20,10,6,kmeans,14.447107417043298,2.407851236173883,0.8765663329977542
10,4,0,500,20,10,6,kmeans,10.296189249958843,1.716031541659807,0.9166044169105589
10,5,0,500,20,10,6,kmeans,9.643585667014122,1.607264277835687,0.8251750830095261
10,6,0,500,20,10,6,kmeans,10.3982263749931,1.7330377291655168,0.8654440840473399
10,3,1,500,20,10,6,kmeans,11.497486834065057,1.9162478056775096,1.1463347499957308
10,4,1,500,20,10,6,kmeans,9.63690629194025,1.6061510486567083,0.8855758750578389
10,5,1,500,20,10,6,kmeans,9.551986832986586,1.5919978054977644,0.8050640419824049
10,6,1,500,20,10,6,kmeans,9.606167249963619,1.6010278749939364,0.7943652500398457
10,3,2,500,20,10,6,kmeans,9.803374124923721,1.6338956874872868,0.7914456250146031
10,4,2,500,20,10,6,kmeans,9.479920333018526,1.5799867221697543,0.7909416659967974
10,5,2,500,20,10,6,kmeans,9.47309470793698,1.5788491179894966,0.7603521250421181
10,6,2,500,20,10,6,kmeans,9.4157428330509,1.56929047217515,0.7700075830798596
10,3,3,500,20,10,6,kmeans,9.686739624943584,1.614456604157264,0.7961940419627354
10,4,3,500,20,10,6,kmeans,9.596452167024836,1.5994086945041393,0.763630541972816
10,5,3,500,20,10,6,kmeans,9.34575933299493,1.557626555499155,0.7630829999689013
10,6,3,500,20,10,6,kmeans,9.363359124981798,1.560559854163633,0.7758479999611154
10,3,4,500,20,10,6,kmeans,9.757408750010654,1.6262347916684423,0.8110043330816552
10,4,4,500,20,10,6,kmeans,9.516605666955002,1.5861009444925003,0.7942535830661654
10,5,4,500,20,10,6,kmeans,9.439027416985482,1.573171236164247,0.8168682920513675
10,6,4,500,20,10,6,kmeans,9.455565875046887,1.5759276458411478,0.8095173329347745
10,3,5,500,20,10,6,kmeans,9.986550249974243,1.6644250416623738,0.8310033340239897
10,4,5,500,20,10,6,kmeans,9.628997624968179,1.6048329374946964,0.7903104579309002
10,5,5,500,20,10,6,kmeans,9.513959208969027,1.5856598681615044,0.7979073750320822
10,6,5,500,20,10,6,kmeans,9.430015041027218,1.5716691735045363,0.7609917919617146
10,3,6,500,20,10,6,kmeans,9.611655915970914,1.601942652661819,0.7846648331033066
10,4,6,500,20,10,6,kmeans,9.54957699996885,1.5915961666614749,0.7436595830367878
10,5,6,500,20,10,6,kmeans,9.504332834039815,1.5840554723399691,0.794384790933691
10,6,6,500,20,10,6,kmeans,9.437358708004467,1.5728931180007446,0.780666874954477
10,3,7,500,20,10,6,kmeans,9.823112542042509,1.6371854236737515,0.8047335419105366
10,4,7,500,20,10,6,kmeans,9.939650624990463,1.6566084374984105,0.8692067499505356
10,5,7,500,20,10,6,kmeans,9.557444707956165,1.5929074513260275,0.7796704169595614
10,6,7,500,20,10,6,kmeans,9.43640470795799,1.5727341179929983,0.802121999906376
10,3,8,500,20,10,6,kmeans,9.582482500001788,1.5970804166669648,0.8169436660828069
10,4,8,500,20,10,6,kmeans,9.647229915950447,1.6078716526584078,0.8283914590720087
10,5,8,500,20,10,6,kmeans,9.576930833049119,1.5961551388415198,0.7756194589892402
10,6,8,500,20,10,6,kmeans,9.563338333042338,1.5938897221737232,1.151179541950114
10,3,9,500,20,10,6,kmeans,10.053716833004728,1.6756194721674547,1.0786976249655709
10,4,9,500,20,10,6,kmeans,10.089304041001014,1.681550673500169,1.1415408750763163
10,5,9,500,20,10,6,kmeans,9.894403916085139,1.6490673193475232,0.9849298750050366
10,6,9,500,20,10,6,kmeans,9.602881333092228,1.600480222182038,1.1248112919274718
10,3,10,500,20,10,6,kmeans,9.948143749963492,1.6580239583272487,1.1725978340255097
10,4,10,500,20,10,6,kmeans,10.026426041964442,1.6710710069940735,1.1229501250199974
10,5,10,500,20,10,6,kmeans,9.791516833007336,1.6319194721678894,1.0466300839325413
10,6,10,500,20,10,6,kmeans,9.732619208982214,1.6221032014970358,1.0814370840089396
10,3,11,500,20,10,6,kmeans,10.154144792002626,1.692357465333771,1.1787043330259621
10,4,11,500,20,10,6,kmeans,10.037395791034214,1.6728992985057023,1.0217857499374077
10,5,11,500,20,10,6,kmeans,9.79253479198087,1.6320891319968116,1.143718458013609
10,6,11,500,20,10,6,kmeans,9.709287749952637,1.618214624992106,0.9696677499450743
10,3,12,500,20,10,6,kmeans,9.90489287499804,1.65081547916634,0.8866597498999909
10,4,12,500,20,10,6,kmeans,9.893090249970555,1.6488483749950926,0.8072206249926239
10,5,12,500,20,10,6,kmeans,9.657485082978383,1.6095808471630637,0.7933644589502364
10,6,12,500,20,10,6,kmeans,9.487287958036177,1.5812146596726961,0.9437090420396999
10,3,13,500,20,10,6,kmeans,9.925603292067535,1.6542672153445892,0.793837875011377
10,4,13,500,20,10,6,kmeans,9.564635000075214,1.5941058333458689,0.7928315410390496
10,5,13,500,20,10,6,kmeans,9.66730362502858,1.6112172708380967,0.7745141249615699
10,6,13,500,20,10,6,kmeans,9.551404249970801,1.5919007083284669,0.827280499972403
10,3,14,500,20,10,6,kmeans,9.836429957998917,1.6394049929998193,0.8025543330004439
10,4,14,500,20,10,6,kmeans,9.664903915952891,1.6108173193254818,0.839096084004268
10,5,14,500,20,10,6,kmeans,10.104142084019259,1.6840236806698765,0.7864961249288172
10,6,14,500,20,10,6,kmeans,9.980938583030365,1.6634897638383943,0.7675272499909624
10,3,15,500,20,10,6,kmeans,9.683604625053704,1.6139341041756172,0.8090225000632927
10,4,15,500,20,10,6,kmeans,9.53751229098998,1.5895853818316634,0.8044240419985726
10,5,15,500,20,10,6,kmeans,9.722057417035103,1.6203429028391838,0.7788363749859855
10,6,15,500,20,10,6,kmeans,9.580713207949884,1.596785534658314,0.75977595790755
10,3,16,500,20,10,6,kmeans,9.965364916948602,1.660894152824767,0.8065677919657901
10,4,16,500,20,10,6,kmeans,9.920473417034373,1.6534122361723955,0.8236932080471888
10,5,16,500,20,10,6,kmeans,9.528541500098072,1.5880902500163454,0.8036968330852687
10,6,16,500,20,10,6,kmeans,9.417227457975969,1.5695379096626614,0.8081678750459105
10,3,17,500,20,10,6,kmeans,9.906201958074234,1.6510336596790391,0.8090114579536021
10,4,17,500,20,10,6,kmeans,9.81338424992282,1.6355640416538033,0.8339932089438662
10,5,17,500,20,10,6,kmeans,9.733247083961032,1.6222078473268386,0.8172052080044523
10,6,17,500,20,10,6,kmeans,9.587241375003941,1.5978735625006568,0.789899916970171
10,3,18,500,20,10,6,kmeans,9.866152875008993,1.6443588125014987,0.8161224579671398
10,4,18,500,20,10,6,kmeans,9.841819791006856,1.6403032985011425,0.7970182920107618
10,5,18,500,20,10,6,kmeans,9.612750666914508,1.602125111152418,0.7939927499974146
10,6,18,500,20,10,6,kmeans,9.511850208044052,1.585308368007342,0.8119965409860015
10,3,19,500,20,10,6,kmeans,9.705037000006996,1.6175061666678328,0.7780946249840781
10,4,19,500,20,10,6,kmeans,9.601942999986932,1.6003238333311554,0.9066254590870813
10,5,19,500,20,10,6,kmeans,9.310076792025939,1.5516794653376564,0.7603305000811815
10,6,19,500,20,10,6,kmeans,9.55092783307191,1.591821305511985,0.773686624947004
18,3,0,500,20,10,6,kmeans,10.203838374931365,1.7006397291552275,0.8380435419967398
18,4,0,500,20,10,6,kmeans,10.048850041930564,1.6748083403217606,0.8266353330109268
18,5,0,500,20,10,6,kmeans,9.881270749960095,1.6468784583266824,0.8084319579647854
18,6,0,500,20,10,6,kmeans,9.787421124987304,1.6312368541645508,0.8006610409356654
18,3,1,500,20,10,6,kmeans,10.251571957953274,1.7085953263255458,0.8480889169732109
18,4,1,500,20,10,6,kmeans,9.96221875003539,1.660369791672565,0.8333982919575647
18,5,1,500,20,10,6,kmeans,9.868572333012708,1.6447620555021178,0.8182807499542832
18,6,1,500,20,10,6,kmeans,10.088942582951859,1.6814904304919764,0.8549643330043182
18,3,2,500,20,10,6,kmeans,10.22293249994982,1.70382208332497,0.8493996660690755
18,4,2,500,20,10,6,kmeans,9.915349209099077,1.6525582015165128,0.8440207079984248
18,5,2,500,20,10,6,kmeans,9.918513666954823,1.6530856111591372,0.8073485830100253
18,6,2,500,20,10,6,kmeans,9.88166754192207,1.646944590320345,0.7835466670803726
18,3,3,500,20,10,6,kmeans,10.059241791022941,1.6765402985038236,0.8202528749825433
18,4,3,500,20,10,6,kmeans,9.968564708018675,1.661427451336446,0.83664166694507
18,5,3,500,20,10,6,kmeans,9.967088958015665,1.661181493002611,0.8126909170532599
18,6,3,500,20,10,6,kmeans,9.755404166993685,1.6259006944989476,0.8021014590049163
18,3,4,500,20,10,6,kmeans,10.362893166951835,1.7271488611586392,0.8799163340590894
18,4,4,500,20,10,6,kmeans,10.062418667017482,1.677069777836247,0.8256469999905676
18,5,4,500,20,10,6,kmeans,9.895574624999426,1.6492624374999043,0.8273161250399426
18,6,4,500,20,10,6,kmeans,9.957002041046508,1.659500340174418,0.8057591249234974
18,3,5,500,20,10,6,kmeans,10.401060250005685,1.7335100416676141,0.8567956669721752
18,4,5,500,20,10,6,kmeans,10.180601957952604,1.6967669929921005,0.817269999999553
18,5,5,500,20,10,6,kmeans,9.88061554194428,1.6467692569907133,0.8253201670013368
18,6,5,500,20,10,6,kmeans,9.990318874944933,1.6650531458241555,0.821241166908294
18,3,6,500,20,10,6,kmeans,10.223410833044909,1.7039018055074848,0.8177474999101833
18,4,6,500,20,10,6,kmeans,10.065802375087515,1.6776337291812524,0.800575791974552
18,5,6,500,20,10,6,kmeans,9.856940667028539,1.6428234445047565,0.8167660410981625
18,6,6,500,20,10,6,kmeans,9.773619458079338,1.6289365763465564,0.8241496250266209
18,3,7,500,20,10,6,kmeans,10.32214375003241,1.7203572916720684,0.8342705830000341
18,4,7,500,20,10,6,kmeans,10.110760750016198,1.6851267916693662,0.838238833937794
18,5,7,500,20,10,6,kmeans,9.845061708940193,1.6408436181566988,0.8246147079626098
18,6,7,500,20,10,6,kmeans,9.837126708007418,1.6395211180012363,0.8431633750442415
18,3,8,500,20,10,6,kmeans,10.215511292102747,1.7025852153504577,0.849399209022522
18,4,8,500,20,10,6,kmeans,10.143407791969366,1.6905679653282277,0.870163792045787
18,5,8,500,20,10,6,kmeans,9.889824250014499,1.648304041669083,0.7626595840556547
18,6,8,500,20,10,6,kmeans,9.87667024997063,1.6461117083284382,0.7851191660156474
18,3,9,500,20,10,6,kmeans,10.165715083945543,1.694285847324257,0.8406241250922903
18,4,9,500,20,10,6,kmeans,9.981668290914968,1.6636113818191614,0.8014552079839632
18,5,9,500,20,10,6,kmeans,9.971916666952893,1.6619861111588154,0.8229284590343013
18,6,9,500,20,10,6,kmeans,9.846423833048902,1.6410706388414837,0.8543039580108598
18,3,10,500,20,10,6,kmeans,10.03197316697333,1.6719955278288883,0.8619898329488933
18,4,10,500,20,10,6,kmeans,10.245853125001304,1.7076421875002172,0.8475051660789177
18,5,10,500,20,10,6,kmeans,9.751394916907884,1.625232486151314,0.8204636250156909
18,6,10,500,20,10,6,kmeans,9.839973416063003,1.639995569343834,0.8019875000463799
18,3,11,500,20,10,6,kmeans,10.375953958020546,1.729325659670091,0.8151963340351358
18,4,11,500,20,10,6,kmeans,10.205830082995817,1.700971680499303,0.8440447499742731
18,5,11,500,20,10,6,kmeans,9.905512708006427,1.6509187846677378,0.818313250085339
18,6,11,500,20,10,6,kmeans,9.825364666990936,1.6375607778318226,0.8327277920907363
18,3,12,500,20,10,6,kmeans,10.237275291932747,1.7062125486554578,0.8466203749412671
