axis_name,axis_value,difficulty,baseline_ari,dataset_iteration,true_k,metric_name,k,metric_value,is_optimal,is_correct,metric_ari
difficulty_level,0,easy,1.0,0,5,consensus_pac_stability,6,0.8958052034689793,False,False,0.9174777611717377
difficulty_level,0,easy,1.0,0,5,consensus_pac_stability,7,0.895134534133867,False,False,0.7856401748771462
difficulty_level,0,easy,1.0,0,5,silhouette,3,0.33105107192250666,False,False,0.6925071261681804
difficulty_level,0,easy,1.0,0,5,silhouette,4,0.4177278982602996,False,False,0.9358935743425748
difficulty_level,0,easy,1.0,0,5,silhouette,5,0.4772087764250068,True,True,1.0
difficulty_level,0,easy,1.0,0,5,silhouette,6,0.4486273146832563,False,False,0.9181472432988852
difficulty_level,0,easy,1.0,0,5,silhouette,7,0.40600641912609853,False,False,0.7715334231584394
difficulty_level,0,easy,1.0,0,5,gap,3,0.561616768236286,False,False,0.6925071261681804
difficulty_level,0,easy,1.0,0,5,gap,4,0.8338675969839375,False,False,0.9358935743425748
difficulty_level,0,easy,1.0,0,5,gap,5,1.0949026502284358,False,True,1.0
difficulty_level,0,easy,1.0,0,5,gap,6,1.1923258859002601,False,False,0.9181472432988852
difficulty_level,0,easy,1.0,0,5,gap,7,1.2973895792044825,True,False,0.7715334231584394
difficulty_level,0,easy,1.0,0,5,davies_bouldin,3,0.41212732394529916,False,False,0.6925071261681804
difficulty_level,0,easy,1.0,0,5,davies_bouldin,4,0.4380082848898687,False,False,0.9358935743425748
difficulty_level,0,easy,1.0,0,5,davies_bouldin,5,0.5156674310337213,True,True,1.0
difficulty_level,0,easy,1.0,0,5,davies_bouldin,6,0.5048004409195515,False,False,0.9181472432988852
difficulty_level,0,easy,1.0,0,5,davies_bouldin,7,0.48215798400732385,False,False,0.7715334231584394
difficulty_level,0,easy,1.0,0,5,calinski_harabasz,3,471.319768319509,False,False,0.6925071261681804
difficulty_level,0,easy,1.0,0,5,calinski_harabasz,4,575.9976359889374,False,False,0.9358935743425748
difficulty_level,0,easy,1.0,0,5,calinski_harabasz,5,678.651441206506,True,True,1.0
difficulty_level,0,easy,1.0,0,5,calinski_harabasz,6,633.9071342763061,False,False,0.9181472432988852
