embed_dim,true_k,dataset_id,n,p,B,n_jobs,n_test_ks,model,t_carve_sec,t_carve_per_k_sec,t_external_sec
174,4,7,500,174,20,10,6,spectral,10.522597708040848,1.7537662846734747,1.474595500039868
174,5,7,500,174,20,10,6,spectral,10.656324916053563,1.776054152675594,1.5409882500534877
174,6,7,500,174,20,10,6,spectral,10.869477625004947,1.8115796041674912,1.4641792080365121
174,3,8,500,174,20,10,6,spectral,10.189773750025779,1.6982956250042964,1.4544552499428391
174,4,8,500,174,20,10,6,spectral,10.236819833051413,1.7061366388419021,1.421375000034459
174,5,8,500,174,20,10,6,spectral,10.942143375054002,1.8236905625090003,1.5526812910102308
174,6,8,500,174,20,10,6,spectral,11.060825834050775,1.8434709723417957,1.505091124912724
174,3,9,500,174,20,10,6,spectral,10.312884625047445,1.7188141041745741,1.474033165955916
174,4,9,500,174,20,10,6,spectral,10.415693374932744,1.7359488958221239,1.4051824579946697
174,5,9,500,174,20,10,6,spectral,11.856517834006809,1.9760863056678015,2.0353647499578074
174,6,9,500,174,20,10,6,spectral,10.981469582999125,1.8302449304998543,1.6259074590634555
174,3,10,500,174,20,10,6,spectral,10.10297091701068,1.6838284861684467,1.3689246659632772
174,4,10,500,174,20,10,6,spectral,10.33122341602575,1.721870569337625,1.4512249579420313
174,5,10,500,174,20,10,6,spectral,10.726489832974039,1.787748305495673,1.467415334074758
174,6,10,500,174,20,10,6,spectral,10.959743791026995,1.8266239651711658,1.5441036249976605
174,3,11,500,174,20,10,6,spectral,10.146856667008251,1.6911427778347086,1.3996033339062706
174,4,11,500,174,20,10,6,spectral,10.301368540967815,1.716894756827969,1.4210973749868572
174,5,11,500,174,20,10,6,spectral,10.705526707926765,1.7842544513211276,1.4816817499231547
174,6,11,500,174,20,10,6,spectral,10.943837917060591,1.8239729861767653,1.4955802919575945
174,3,12,500,174,20,10,6,spectral,10.135720040998422,1.689286673499737,1.458261499996297
174,4,12,500,174,20,10,6,spectral,10.31447695789393,1.7190794929823217,1.452661416027695
174,5,12,500,174,20,10,6,spectral,10.771572374971583,1.795262062495264,1.4344999579479918
174,6,12,500,174,20,10,6,spectral,10.732097666012123,1.7886829443353538,1.5721846249653026
174,3,13,500,174,20,10,6,spectral,10.291195666068234,1.715199277678039,1.4265862089814618
174,4,13,500,174,20,10,6,spectral,10.340534209040925,1.7234223681734875,1.6407458329340443
174,5,13,500,174,20,10,6,spectral,10.85698391601909,1.809497319336515,1.6022065830184147
174,6,13,500,174,20,10,6,spectral,11.06331295799464,1.8438854929991066,1.4829069999977946
174,3,14,500,174,20,10,6,spectral,10.255632666056044,1.7092721110093407,1.4001371660269797
174,4,14,500,174,20,10,6,spectral,10.142925041960552,1.6904875069934253,1.458097790949978
174,5,14,500,174,20,10,6,spectral,10.657609582995065,1.7762682638325107,1.6986812500981614
174,6,14,500,174,20,10,6,spectral,11.498550707940012,1.916425117990002,2.0897551249945536
174,3,15,500,174,20,10,6,spectral,11.465718957944773,1.9109531596574623,1.7937848749570549
174,4,15,500,174,20,10,6,spectral,10.758462249999866,1.7930770416666444,1.444025416043587
174,5,15,500,174,20,10,6,spectral,10.557645499939099,1.7596075833231832,1.5306088749784976
174,6,15,500,174,20,10,6,spectral,10.718664832995273,1.7864441388325456,1.6123365419916809
174,3,16,500,174,20,10,6,spectral,10.348911583074369,1.7248185971790615,1.5153840839629993
174,4,16,500,174,20,10,6,spectral,10.446008583065122,1.7410014305108537,1.5578776249894872
174,5,16,500,174,20,10,6,spectral,12.162745667039417,2.027124277839903,1.7200269170571119
174,6,16,500,174,20,10,6,spectral,13.438839584006928,2.239806597334488,1.801659790915437
174,3,17,500,174,20,10,6,spectral,11.710203583003022,1.9517005971671704,1.404370000003837
174,4,17,500,174,20,10,6,spectral,10.722030083066784,1.787005013844464,1.5826837919885293
174,5,17,500,174,20,10,6,spectral,10.778759208973497,1.7964598681622495,1.440042540896684
174,6,17,500,174,20,10,6,spectral,10.949646249995567,1.8249410416659277,1.5517137920251116
174,3,18,500,174,20,10,6,spectral,10.277520833071321,1.7129201388452202,1.3859964159782976
174,4,18,500,174,20,10,6,spectral,10.22968583391048,1.70494763898508,1.508475000038743
174,5,18,500,174,20,10,6,spectral,10.660140666062944,1.7766901110104907,1.5368181249359623
