"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[strain]"	"Sample Characteristic Ontology Term[strain]"	"Sample Characteristic[age]"	"Sample Characteristic Ontology Term[age]"	"Sample Characteristic[developmental stage]"	"Sample Characteristic Ontology Term[developmental stage]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[genotype]"	"Sample Characteristic Ontology Term[genotype]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"
"SRR5531849"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2420"	
"SRR5531850"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2421"	
"SRR5531851"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2422"	
"SRR5531852"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2423"	
"SRR5531853"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2424"	
"SRR5531854"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2425"	
"SRR5531855"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2426"	
"SRR5531856"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2427"	
"SRR5531857"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2428"	
"SRR5531858"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2429"	
"SRR5531859"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2430"	
"SRR5531860"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2431"	
"SRR5531861"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2432"	
"SRR5531862"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2433"	
"SRR5531863"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2434"	
"SRR5531864"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2435"	
"SRR5531865"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2436"	
"SRR5531866"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2437"	
"SRR5531867"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2438"	
"SRR5531868"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2439"	
"SRR5531869"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2440"	
"SRR5531870"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2441"	
"SRR5531871"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2442"	
"SRR5531872"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2443"	
"SRR5531873"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2444"	
"SRR5531874"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2445"	
"SRR5531875"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2446"	
"SRR5531876"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2447"	
"SRR5531877"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2448"	
"SRR5531878"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2449"	
"SRR5531879"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2450"	
"SRR5531880"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2451"	
"SRR5531881"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2452"	
"SRR5531882"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2453"	
"SRR5531883"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2454"	
"SRR5531884"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2455"	
"SRR5531885"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2456"	
"SRR5531886"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2457"	
"SRR5531887"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2458"	
"SRR5531888"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2459"	
"SRR5531889"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2460"	
"SRR5531890"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2461"	
"SRR5531891"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2462"	
"SRR5531892"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2463"	
"SRR5531893"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2464"	
"SRR5531894"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2465"	
"SRR5531895"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2466"	
"SRR5531896"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2467"	
"SRR5531897"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2468"	
"SRR5531898"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2469"	
"SRR5531899"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2470"	
"SRR5531900"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2471"	
"SRR5531901"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2472"	
"SRR5531902"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2473"	
"SRR5531903"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2474"	
"SRR5531904"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2475"	
"SRR5531905"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2476"	
"SRR5531906"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2477"	
"SRR5531907"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2478"	
"SRR5531908"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2479"	
"SRR5531909"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2480"	
"SRR5531910"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2481"	
"SRR5531911"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2482"	
"SRR5531912"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2483"	
"SRR5531913"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2484"	
"SRR5531914"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2485"	
"SRR5531915"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2486"	
"SRR5531916"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2487"	
"SRR5531917"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2488"	
"SRR5531918"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2489"	
"SRR5531919"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2490"	
"SRR5531920"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2491"	
"SRR5531921"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2492"	
"SRR5531922"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2493"	
"SRR5531923"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2494"	
"SRR5531924"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2495"	
"SRR5531925"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2496"	
"SRR5531926"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2497"	
"SRR5531927"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Pdgfrb-GFP;NG2dsRed"		"Brain single cell 2498"	
