axis_name,axis_value,stage,baseline_ari,dataset_iteration,true_k,metric_name,k,metric_value,is_optimal,is_correct,metric_ari
p,50,start,0.8825522744476542,0,5,accuracy_generalizability,3,0.837010385800274,False,False,0.6289202602480092
p,50,start,0.8825522744476542,0,5,accuracy_generalizability,4,0.858325562160795,True,False,0.7610997417336225
p,50,start,0.8825522744476542,0,5,accuracy_generalizability,5,0.8106376005320363,False,True,0.7888186703005127
p,50,start,0.8825522744476542,0,5,accuracy_generalizability,6,0.6828486292286191,False,False,0.8330518448855823
p,50,start,0.8825522744476542,0,5,accuracy_generalizability,7,0.5943664645544362,False,False,0.8306490195447843
p,50,start,0.8825522744476542,0,5,ari_generalizability,3,0.5966888796460321,False,False,0.6289202602480092
p,50,start,0.8825522744476542,0,5,ari_generalizability,4,0.6982940750798587,True,False,0.7610997417336225
p,50,start,0.8825522744476542,0,5,ari_generalizability,5,0.655107435334245,False,True,0.7888186703005127
p,50,start,0.8825522744476542,0,5,ari_generalizability,6,0.5124072551565876,False,False,0.8330518448855823
p,50,start,0.8825522744476542,0,5,ari_generalizability,7,0.40939246661834405,False,False,0.8306490195447843
p,50,start,0.8825522744476542,0,5,ari_generalizability_1se,3,0.5966888796460321,False,False,0.6289202602480092
p,50,start,0.8825522744476542,0,5,ari_generalizability_1se,4,0.6982940750798587,True,False,0.7610997417336225
p,50,start,0.8825522744476542,0,5,ari_generalizability_1se,5,0.655107435334245,False,True,0.7888186703005127
p,50,start,0.8825522744476542,0,5,ari_generalizability_1se,6,0.5124072551565876,False,False,0.8330518448855823
p,50,start,0.8825522744476542,0,5,ari_generalizability_1se,7,0.40939246661834405,False,False,0.8306490195447843
p,50,start,0.8825522744476542,0,5,ari_generalizability_quant,3,0.5966888796460321,False,False,0.6289202602480092
p,50,start,0.8825522744476542,0,5,ari_generalizability_quant,4,0.6982940750798587,False,False,0.7610997417336225
p,50,start,0.8825522744476542,0,5,ari_generalizability_quant,5,0.655107435334245,True,True,0.7888186703005127
p,50,start,0.8825522744476542,0,5,ari_generalizability_quant,6,0.5124072551565876,False,False,0.8330518448855823
p,50,start,0.8825522744476542,0,5,ari_generalizability_quant,7,0.40939246661834405,False,False,0.8306490195447843
p,50,start,0.8825522744476542,0,5,ari_stability,3,0.8066322769218661,False,False,0.671985964236907
p,50,start,0.8825522744476542,0,5,ari_stability,4,0.8828634022838192,False,False,0.8248626182121187
p,50,start,0.8825522744476542,0,5,ari_stability,5,0.9081214213479671,True,True,0.8840685222115938
p,50,start,0.8825522744476542,0,5,ari_stability,6,0.733457716023741,False,False,0.8715345350355375
p,50,start,0.8825522744476542,0,5,ari_stability,7,0.5774400684260965,False,False,0.8757932477406033
p,50,start,0.8825522744476542,0,5,ari_stability_1se,3,0.8066322769218661,False,False,0.671985964236907
p,50,start,0.8825522744476542,0,5,ari_stability_1se,4,0.8828634022838192,False,False,0.8248626182121187
p,50,start,0.8825522744476542,0,5,ari_stability_1se,5,0.9081214213479671,True,True,0.8840685222115938
p,50,start,0.8825522744476542,0,5,ari_stability_1se,6,0.733457716023741,False,False,0.8715345350355375
p,50,start,0.8825522744476542,0,5,ari_stability_1se,7,0.5774400684260965,False,False,0.8757932477406033
p,50,start,0.8825522744476542,0,5,ari_stability_quant,3,0.8066322769218661,False,False,0.671985964236907
p,50,start,0.8825522744476542,0,5,ari_stability_quant,4,0.8828634022838192,False,False,0.8248626182121187
p,50,start,0.8825522744476542,0,5,ari_stability_quant,5,0.9081214213479671,True,True,0.8840685222115938
p,50,start,0.8825522744476542,0,5,ari_stability_quant,6,0.733457716023741,False,False,0.8715345350355375
p,50,start,0.8825522744476542,0,5,ari_stability_quant,7,0.5774400684260965,False,False,0.8757932477406033
p,50,start,0.8825522744476542,0,5,consensus_ce_stability,3,0.8110546745020216,False,False,0.671985964236907
p,50,start,0.8825522744476542,0,5,consensus_ce_stability,4,0.9036467076651664,False,False,0.8248626182121187
p,50,start,0.8825522744476542,0,5,consensus_ce_stability,5,0.9261047867281629,True,True,0.8840685222115938
p,50,start,0.8825522744476542,0,5,consensus_ce_stability,6,0.829245682163446,False,False,0.8715345350355375
p,50,start,0.8825522744476542,0,5,consensus_ce_stability,7,0.7707531582675662,False,False,0.8757932477406033
p,50,start,0.8825522744476542,0,5,consensus_gini_stability,3,0.8286365882337416,False,False,0.671985964236907
p,50,start,0.8825522744476542,0,5,consensus_gini_stability,4,0.9163142154751014,False,False,0.8248626182121187
p,50,start,0.8825522744476542,0,5,consensus_gini_stability,5,0.9383933649748503,True,True,0.8840685222115938
p,50,start,0.8825522744476542,0,5,consensus_gini_stability,6,0.848573165850447,False,False,0.8715345350355375
p,50,start,0.8825522744476542,0,5,consensus_gini_stability,7,0.7918328850292301,False,False,0.8757932477406033
p,50,start,0.8825522744476542,0,5,consensus_pac_stability,3,0.7564696464309539,False,False,0.671985964236907
p,50,start,0.8825522744476542,0,5,consensus_pac_stability,4,0.8687293751389815,False,False,0.8248626182121187
p,50,start,0.8825522744476542,0,5,consensus_pac_stability,5,0.9076006226373138,True,True,0.8840685222115938
p,50,start,0.8825522744476542,0,5,consensus_pac_stability,6,0.7777887480542585,False,False,0.8715345350355375
p,50,start,0.8825522744476542,0,5,consensus_pac_stability,7,0.7109157215921725,False,False,0.8757932477406033
p,50,start,0.8825522744476542,0,5,silhouette,3,0.056653734307559794,False,False,0.675923972205359
p,50,start,0.8825522744476542,0,5,silhouette,4,0.05960305682989856,False,False,0.8237654900257149
p,50,start,0.8825522744476542,0,5,silhouette,5,0.06306633657072158,True,True,0.8825522744476542
p,50,start,0.8825522744476542,0,5,silhouette,6,0.050839236665525464,False,False,0.7148768610287188
p,50,start,0.8825522744476542,0,5,silhouette,7,0.04439478174784568,False,False,0.6207893144572959
p,50,start,0.8825522744476542,0,5,gap,3,1.3627596732484992,False,False,0.675923972205359
p,50,start,0.8825522744476542,0,5,gap,4,1.3807996323563572,False,False,0.8237654900257149
p,50,start,0.8825522744476542,0,5,gap,5,1.3944499123382688,False,True,0.8825522744476542
p,50,start,0.8825522744476542,0,5,gap,6,1.4014688684802632,False,False,0.7148768610287188
p,50,start,0.8825522744476542,0,5,gap,7,1.4063940872914777,True,False,0.6207893144572959
p,50,start,0.8825522744476542,0,5,davies_bouldin,3,0.2054732569200549,False,False,0.675923972205359
p,50,start,0.8825522744476542,0,5,davies_bouldin,4,0.21536269356418347,False,False,0.8237654900257149
p,50,start,0.8825522744476542,0,5,davies_bouldin,5,0.23892596908274533,True,True,0.8825522744476542
p,50,start,0.8825522744476542,0,5,davies_bouldin,6,0.2187727269872633,False,False,0.7148768610287188
p,50,start,0.8825522744476542,0,5,davies_bouldin,7,0.20744359739781962,False,False,0.6207893144572959
p,50,start,0.8825522744476542,0,5,calinski_harabasz,3,76.02943541119535,True,False,0.675923972205359
p,50,start,0.8825522744476542,0,5,calinski_harabasz,4,66.97651845683265,False,False,0.8237654900257149
p,50,start,0.8825522744476542,0,5,calinski_harabasz,5,59.84676135693288,False,True,0.8825522744476542
p,50,start,0.8825522744476542,0,5,calinski_harabasz,6,53.031771769715704,False,False,0.7148768610287188
p,50,start,0.8825522744476542,0,5,calinski_harabasz,7,47.74136817195126,False,False,0.6207893144572959
