axis_name,axis_value,stage,baseline_ari,dataset_iteration,true_k,metric_name,k,metric_value,is_optimal,is_correct,metric_ari
n_total,1000,start,0.8782283147760306,0,5,accuracy_generalizability,3,0.8683757470631567,True,False,0.6201439357578185
n_total,1000,start,0.8782283147760306,0,5,accuracy_generalizability,4,0.8460699403485391,False,False,0.7790217259681161
n_total,1000,start,0.8782283147760306,0,5,accuracy_generalizability,5,0.7523349095636716,False,True,0.7848986545223469
n_total,1000,start,0.8782283147760306,0,5,accuracy_generalizability,6,0.6451452099361787,False,False,0.8184622268863674
n_total,1000,start,0.8782283147760306,0,5,accuracy_generalizability,7,0.5768065915555853,False,False,0.8220281731539779
n_total,1000,start,0.8782283147760306,0,5,ari_generalizability,3,0.6520230572536515,False,False,0.6201439357578185
n_total,1000,start,0.8782283147760306,0,5,ari_generalizability,4,0.6698831541631823,True,False,0.7790217259681161
n_total,1000,start,0.8782283147760306,0,5,ari_generalizability,5,0.5814486977109559,False,True,0.7848986545223469
n_total,1000,start,0.8782283147760306,0,5,ari_generalizability,6,0.4666689802649245,False,False,0.8184622268863674
n_total,1000,start,0.8782283147760306,0,5,ari_generalizability,7,0.39262258665906996,False,False,0.8220281731539779
n_total,1000,start,0.8782283147760306,0,5,ari_generalizability_1se,3,0.6520230572536515,False,False,0.6201439357578185
n_total,1000,start,0.8782283147760306,0,5,ari_generalizability_1se,4,0.6698831541631823,True,False,0.7790217259681161
n_total,1000,start,0.8782283147760306,0,5,ari_generalizability_1se,5,0.5814486977109559,False,True,0.7848986545223469
n_total,1000,start,0.8782283147760306,0,5,ari_generalizability_1se,6,0.4666689802649245,False,False,0.8184622268863674
n_total,1000,start,0.8782283147760306,0,5,ari_generalizability_1se,7,0.39262258665906996,False,False,0.8220281731539779
n_total,1000,start,0.8782283147760306,0,5,ari_generalizability_quant,3,0.6520230572536515,False,False,0.6201439357578185
n_total,1000,start,0.8782283147760306,0,5,ari_generalizability_quant,4,0.6698831541631823,False,False,0.7790217259681161
n_total,1000,start,0.8782283147760306,0,5,ari_generalizability_quant,5,0.5814486977109559,True,True,0.7848986545223469
n_total,1000,start,0.8782283147760306,0,5,ari_generalizability_quant,6,0.4666689802649245,False,False,0.8184622268863674
n_total,1000,start,0.8782283147760306,0,5,ari_generalizability_quant,7,0.39262258665906996,False,False,0.8220281731539779
n_total,1000,start,0.8782283147760306,0,5,ari_stability,3,0.8750958974400902,False,False,0.6738771005959252
n_total,1000,start,0.8782283147760306,0,5,ari_stability,4,0.8876210182220968,True,False,0.8112759125407427
n_total,1000,start,0.8782283147760306,0,5,ari_stability,5,0.8453307595706703,False,True,0.8698666790428738
n_total,1000,start,0.8782283147760306,0,5,ari_stability,6,0.6842131769033329,False,False,0.8840581500136432
n_total,1000,start,0.8782283147760306,0,5,ari_stability,7,0.5588067066961757,False,False,0.881957846692858
n_total,1000,start,0.8782283147760306,0,5,ari_stability_1se,3,0.8750958974400902,False,False,0.6738771005959252
n_total,1000,start,0.8782283147760306,0,5,ari_stability_1se,4,0.8876210182220968,True,False,0.8112759125407427
n_total,1000,start,0.8782283147760306,0,5,ari_stability_1se,5,0.8453307595706703,False,True,0.8698666790428738
n_total,1000,start,0.8782283147760306,0,5,ari_stability_1se,6,0.6842131769033329,False,False,0.8840581500136432
n_total,1000,start,0.8782283147760306,0,5,ari_stability_1se,7,0.5588067066961757,False,False,0.881957846692858
n_total,1000,start,0.8782283147760306,0,5,ari_stability_quant,3,0.8750958974400902,False,False,0.6738771005959252
n_total,1000,start,0.8782283147760306,0,5,ari_stability_quant,4,0.8876210182220968,False,False,0.8112759125407427
n_total,1000,start,0.8782283147760306,0,5,ari_stability_quant,5,0.8453307595706703,True,True,0.8698666790428738
n_total,1000,start,0.8782283147760306,0,5,ari_stability_quant,6,0.6842131769033329,False,False,0.8840581500136432
n_total,1000,start,0.8782283147760306,0,5,ari_stability_quant,7,0.5588067066961757,False,False,0.881957846692858
n_total,1000,start,0.8782283147760306,0,5,consensus_ce_stability,3,0.8736583736607247,False,False,0.6738771005959252
n_total,1000,start,0.8782283147760306,0,5,consensus_ce_stability,4,0.9012336600304782,True,False,0.8112759125407427
n_total,1000,start,0.8782283147760306,0,5,consensus_ce_stability,5,0.8731974457170455,False,True,0.8698666790428738
n_total,1000,start,0.8782283147760306,0,5,consensus_ce_stability,6,0.8023161966378546,False,False,0.8840581500136432
n_total,1000,start,0.8782283147760306,0,5,consensus_ce_stability,7,0.758297411542463,False,False,0.881957846692858
n_total,1000,start,0.8782283147760306,0,5,consensus_gini_stability,3,0.8895490233599406,False,False,0.6738771005959252
n_total,1000,start,0.8782283147760306,0,5,consensus_gini_stability,4,0.9158887443462792,True,False,0.8112759125407427
n_total,1000,start,0.8782283147760306,0,5,consensus_gini_stability,5,0.8954997782339054,False,True,0.8698666790428738
n_total,1000,start,0.8782283147760306,0,5,consensus_gini_stability,6,0.8253554622898721,False,False,0.8840581500136432
n_total,1000,start,0.8782283147760306,0,5,consensus_gini_stability,7,0.7819139235536106,False,False,0.881957846692858
n_total,1000,start,0.8782283147760306,0,5,consensus_pac_stability,3,0.8259079079079079,False,False,0.6738771005959252
n_total,1000,start,0.8782283147760306,0,5,consensus_pac_stability,4,0.8649349349349349,True,False,0.8112759125407427
n_total,1000,start,0.8782283147760306,0,5,consensus_pac_stability,5,0.821973973973974,False,True,0.8698666790428738
n_total,1000,start,0.8782283147760306,0,5,consensus_pac_stability,6,0.7452852852852853,False,False,0.8840581500136432
n_total,1000,start,0.8782283147760306,0,5,consensus_pac_stability,7,0.6964964964964965,False,False,0.881957846692858
n_total,1000,start,0.8782283147760306,0,5,silhouette,3,0.059627565235954805,False,False,0.6716238615720191
n_total,1000,start,0.8782283147760306,0,5,silhouette,4,0.062202429104155084,False,False,0.808301403182417
n_total,1000,start,0.8782283147760306,0,5,silhouette,5,0.06473693919085491,True,True,0.8782283147760306
n_total,1000,start,0.8782283147760306,0,5,silhouette,6,0.05325450836644128,False,False,0.7093445660199615
n_total,1000,start,0.8782283147760306,0,5,silhouette,7,0.045246587682967396,False,False,0.6220872875381752
n_total,1000,start,0.8782283147760306,0,5,gap,3,1.3319703830496419,False,False,0.6716238615720191
n_total,1000,start,0.8782283147760306,0,5,gap,4,1.3505787161963276,False,False,0.808301403182417
n_total,1000,start,0.8782283147760306,0,5,gap,5,1.3620182250182271,False,True,0.8782283147760306
n_total,1000,start,0.8782283147760306,0,5,gap,6,1.3685335311500388,False,False,0.7093445660199615
n_total,1000,start,0.8782283147760306,0,5,gap,7,1.373405744181314,True,False,0.6220872875381752
n_total,1000,start,0.8782283147760306,0,5,davies_bouldin,3,0.2136528089778785,False,False,0.6716238615720191
n_total,1000,start,0.8782283147760306,0,5,davies_bouldin,4,0.22051908516432775,False,False,0.808301403182417
n_total,1000,start,0.8782283147760306,0,5,davies_bouldin,5,0.2413710968337858,True,True,0.8782283147760306
n_total,1000,start,0.8782283147760306,0,5,davies_bouldin,6,0.21783189672194792,False,False,0.7093445660199615
n_total,1000,start,0.8782283147760306,0,5,davies_bouldin,7,0.2094858927087698,False,False,0.6220872875381752
n_total,1000,start,0.8782283147760306,0,5,calinski_harabasz,3,53.87478559901335,True,False,0.6716238615720191
n_total,1000,start,0.8782283147760306,0,5,calinski_harabasz,4,47.2961022738277,False,False,0.808301403182417
n_total,1000,start,0.8782283147760306,0,5,calinski_harabasz,5,41.73759705862009,False,True,0.8782283147760306
n_total,1000,start,0.8782283147760306,0,5,calinski_harabasz,6,36.86773129106491,False,False,0.7093445660199615
n_total,1000,start,0.8782283147760306,0,5,calinski_harabasz,7,33.164040680476994,False,False,0.6220872875381752
n_total,1000,start,0.8070880574368507,1,5,accuracy_generalizability,3,0.6931093662493133,True,False,0.5381610744239601
n_total,1000,start,0.8070880574368507,1,5,accuracy_generalizability,4,0.6331501316755878,False,False,0.6448993841764568
