axis_name,axis_value,stage,dataset_iteration,true_k,n,p,B,n_jobs,n_test_ks,estimator,t_carve_sec_s,t_carve_sec_g,t_carve_per_k_sec_s,t_carve_per_k_sec_g
embed_dim,10,start,0,5,1500,10,20,10,5,spectral,25.782877042191103,24.84963612514548,5.15657540843822,4.969927225029096
embed_dim,10,start,1,5,1500,10,20,10,5,spectral,25.56284658284858,25.0920632078778,5.112569316569716,5.01841264157556
embed_dim,10,start,2,5,1500,10,20,10,5,spectral,28.086609959136695,25.220867207972333,5.617321991827339,5.044173441594467
embed_dim,10,start,3,5,1500,10,20,10,5,spectral,25.465882249874994,24.65543520799838,5.093176449974999,4.931087041599676
embed_dim,10,start,4,5,1500,10,20,10,5,spectral,25.529567749937996,24.725790499942377,5.1059135499876,4.945158099988475
embed_dim,10,start,5,5,1500,10,20,10,5,spectral,25.58938637492247,25.143687416100875,5.117877274984494,5.0287374832201746
embed_dim,10,start,6,5,1500,10,20,10,5,spectral,25.3408932921011,25.013860041974112,5.06817865842022,5.002772008394823
embed_dim,10,start,7,5,1500,10,20,10,5,spectral,25.25858641602099,24.87469037505798,5.051717283204198,4.974938075011596
embed_dim,10,start,8,5,1500,10,20,10,5,spectral,25.588281499920413,25.091935290955007,5.117656299984082,5.018387058191001
embed_dim,10,start,9,5,1500,10,20,10,5,spectral,25.3683154580649,24.71162233292125,5.07366309161298,4.9423244665842505
embed_dim,10,start,10,5,1500,10,20,10,5,spectral,25.388355916831642,24.589588165981695,5.077671183366329,4.917917633196339
embed_dim,10,start,11,5,1500,10,20,10,5,spectral,25.549681375036016,24.721660000039265,5.109936275007203,4.944332000007853
embed_dim,10,start,12,5,1500,10,20,10,5,spectral,25.567020291928202,24.751019957941025,5.11340405838564,4.9502039915882055
embed_dim,10,start,13,5,1500,10,20,10,5,spectral,25.61573883309029,25.09518708405085,5.123147766618058,5.0190374168101695
embed_dim,10,start,14,5,1500,10,20,10,5,spectral,25.729681374970824,25.050457666860893,5.145936274994165,5.0100915333721785
embed_dim,10,start,15,5,1500,10,20,10,5,spectral,25.34083087509498,24.730270125204697,5.068166175018996,4.946054025040939
embed_dim,10,start,16,5,1500,10,20,10,5,spectral,25.217791375005618,24.925698000006378,5.043558275001123,4.9851396000012755
embed_dim,10,start,17,5,1500,10,20,10,5,spectral,25.686385500011966,25.080227250000462,5.137277100002393,5.016045450000092
embed_dim,10,start,18,5,1500,10,20,10,5,spectral,25.725334709044546,25.096608832944185,5.145066941808909,5.0193217665888366
embed_dim,10,start,19,5,1500,10,20,10,5,spectral,25.006887916009873,24.87161570903845,5.0013775832019745,4.97432314180769
embed_dim,255,middle,0,5,1500,255,20,10,5,spectral,28.379751709057018,42.86066299979575,5.6759503418114035,8.57213259995915
embed_dim,255,middle,1,5,1500,255,20,10,5,spectral,27.770316208014265,41.51177058299072,5.554063241602853,8.302354116598144
embed_dim,255,middle,2,5,1500,255,20,10,5,spectral,28.343345375033095,39.10208841599524,5.668669075006619,7.820417683199048
embed_dim,255,middle,3,5,1500,255,20,10,5,spectral,28.530777958920226,39.24301179195754,5.706155591784045,7.848602358391508
embed_dim,255,middle,4,5,1500,255,20,10,5,spectral,28.74111320800148,40.09220570884645,5.748222641600296,8.01844114176929
embed_dim,255,middle,5,5,1500,255,20,10,5,spectral,28.181921334005892,39.38794008316472,5.636384266801178,7.877588016632944
embed_dim,255,middle,6,5,1500,255,20,10,5,spectral,28.01840433385223,38.93581516598351,5.603680866770446,7.787163033196703
embed_dim,255,middle,7,5,1500,255,20,10,5,spectral,28.21438058419153,39.40641187503934,5.642876116838306,7.881282375007868
embed_dim,255,middle,8,5,1500,255,20,10,5,spectral,28.10316912503913,38.82070279214531,5.620633825007826,7.764140558429062
embed_dim,255,middle,9,5,1500,255,20,10,5,spectral,28.117968208156526,38.64747741702013,5.623593641631305,7.729495483404025
embed_dim,255,middle,10,5,1500,255,20,10,5,spectral,29.773568792035803,43.21677670790814,5.954713758407161,8.643355341581628
embed_dim,255,middle,11,5,1500,255,20,10,5,spectral,29.602759458124638,42.17768912483007,5.920551891624927,8.435537824966014
embed_dim,255,middle,12,5,1500,255,20,10,5,spectral,29.109275249997154,42.17787933303043,5.821855049999431,8.435575866606086
embed_dim,255,middle,13,5,1500,255,20,10,5,spectral,29.31935991696082,42.01948308292776,5.863871983392164,8.403896616585552
embed_dim,255,middle,14,5,1500,255,20,10,5,spectral,29.16302083292976,42.69091612496413,5.832604166585952,8.538183224992826
embed_dim,255,middle,15,5,1500,255,20,10,5,spectral,29.68283808301203,43.38929612492211,5.936567616602406,8.677859224984422
embed_dim,255,middle,16,5,1500,255,20,10,5,spectral,29.94760079192929,43.34183229110204,5.989520158385858,8.668366458220408
embed_dim,255,middle,17,5,1500,255,20,10,5,spectral,29.814852291950956,43.72972912504338,5.962970458390191,8.745945825008675
embed_dim,255,middle,18,5,1500,255,20,10,5,spectral,29.902111208997667,45.244951541069895,5.980422241799533,9.048990308213979
embed_dim,255,middle,19,5,1500,255,20,10,5,spectral,30.987445374950767,46.769148541847244,6.197489074990154,9.35382970836945
embed_dim,500,end,0,5,1500,500,20,10,5,spectral,35.08009025012143,53.858292707940564,7.016018050024286,10.771658541588113
embed_dim,500,end,1,5,1500,500,20,10,5,spectral,35.06631145789288,55.80527758295648,7.013262291578576,11.161055516591295
embed_dim,500,end,2,5,1500,500,20,10,5,spectral,34.954779957886785,53.14012758387253,6.990955991577357,10.628025516774505
embed_dim,500,end,3,5,1500,500,20,10,5,spectral,35.31089162500575,53.6597148750443,7.062178325001151,10.73194297500886
embed_dim,500,end,4,5,1500,500,20,10,5,spectral,34.74725216580555,53.07082150015049,6.949450433161109,10.614164300030097
embed_dim,500,end,5,5,1500,500,20,10,5,spectral,35.04268829198554,52.60306245810352,7.008537658397108,10.520612491620705
embed_dim,500,end,6,5,1500,500,20,10,5,spectral,34.976357290986925,52.91194933303632,6.995271458197385,10.582389866607263
embed_dim,500,end,7,5,1500,500,20,10,5,spectral,34.7326922910288,52.609014332992956,6.94653845820576,10.521802866598591
embed_dim,500,end,8,5,1500,500,20,10,5,spectral,35.44907762482762,54.171475667040795,7.089815524965525,10.834295133408158
embed_dim,500,end,9,5,1500,500,20,10,5,spectral,35.12838012492284,53.82910066610202,7.025676024984568,10.765820133220405
embed_dim,500,end,10,5,1500,500,20,10,5,spectral,34.75952595798299,53.435606374870986,6.951905191596597,10.687121274974198
embed_dim,500,end,11,5,1500,500,20,10,5,spectral,34.43061095918529,54.110921249957755,6.886122191837058,10.822184249991551
embed_dim,500,end,12,5,1500,500,20,10,5,spectral,36.51811791700311,57.31305304192938,7.303623583400622,11.462610608385877
embed_dim,500,end,13,5,1500,500,20,10,5,spectral,35.31239087507129,53.00163441686891,7.062478175014258,10.600326883373782
embed_dim,500,end,14,5,1500,500,20,10,5,spectral,35.96408537495881,54.949484708951786,7.192817074991763,10.989896941790358
embed_dim,500,end,15,5,1500,500,20,10,5,spectral,34.971999833127484,51.927136207930744,6.994399966625497,10.385427241586148
embed_dim,500,end,16,5,1500,500,20,10,5,spectral,34.98333970899694,51.846171583049,6.996667941799387,10.3692343166098
embed_dim,500,end,17,5,1500,500,20,10,5,spectral,35.17419633292593,54.256205207901075,7.034839266585186,10.851241041580215
embed_dim,500,end,18,5,1500,500,20,10,5,spectral,34.822489500045776,52.571365291951224,6.964497900009155,10.514273058390245
embed_dim,500,end,19,5,1500,500,20,10,5,spectral,34.415024457965046,54.36534470808692,6.883004891593009,10.873068941617385
